category,evidentiary_tier,integrity_status,file_path,line_number,data_source,experiment,sample_size,independent_event_count,audit_notes
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5737,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5747,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5751,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.09 Alert Funnel / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5761,42-asset synthetic fleet,Phase 4 Production Alert Funnel,"42 assets * 45 days (45,360 asset-hours)",6,v2 production funnel rate with downstream sensor & common-cause gating.
0.09 Alert Funnel / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5765,42-asset synthetic fleet,Phase 4 Production Alert Funnel,"42 assets * 45 days (45,360 asset-hours)",6,v2 production funnel rate with downstream sensor & common-cause gating.
0.09 Alert Funnel / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5775,42-asset synthetic fleet,Phase 4 Production Alert Funnel,"42 assets * 45 days (45,360 asset-hours)",6,v2 production funnel rate with downstream sensor & common-cause gating.
0.09 Alert Funnel / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5779,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Contextual numeric value.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5789,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5793,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5803,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5807,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5817,Fleet Models,Regression Baselines,N/A,N/A,Coefficient of determination for digital twin tracking.
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5818,Fleet Models,Regression Baselines,N/A,N/A,Coefficient of determination for digital twin tracking.
R2 Tracking Metrics,EXTERNAL_REAL,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5821,External Commercial Wind Turbine SCADA,Expected-Behavior Zero-Shot Tracking,1 unseen commercial turbine (10m SCADA),0,"Validates expected power/thermal curve transfer, NOT anomaly detection."
0.09 Alert Funnel / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5831,42-asset synthetic fleet,Phase 4 Production Alert Funnel,"42 assets * 45 days (45,360 asset-hours)",6,v2 production funnel rate with downstream sensor & common-cause gating.
0.09 Alert Funnel / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5835,42-asset synthetic fleet,Phase 4 Production Alert Funnel,"42 assets * 45 days (45,360 asset-hours)",6,v2 production funnel rate with downstream sensor & common-cause gating.
0.09 Alert Funnel / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5845,42-asset synthetic fleet,Phase 4 Production Alert Funnel,"42 assets * 45 days (45,360 asset-hours)",6,v2 production funnel rate with downstream sensor & common-cause gating.
0.09 Alert Funnel / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5849,42-asset synthetic fleet,Phase 4 Production Alert Funnel,"42 assets * 45 days (45,360 asset-hours)",6,v2 production funnel rate with downstream sensor & common-cause gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5859,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5863,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5873,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5877,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5887,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5891,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5901,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5905,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5915,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5919,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5929,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5933,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5943,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5947,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5957,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5961,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5971,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5975,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5985,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5989,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,5999,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6003,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6013,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6017,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6027,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6031,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6041,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6045,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6055,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6059,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6069,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6073,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6083,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6087,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6097,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6101,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6111,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6115,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6125,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6129,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6139,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6143,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6153,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6157,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6167,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6171,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6181,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6185,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6195,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6196,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6199,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6209,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6210,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6213,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6223,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6224,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6227,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6237,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6238,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6241,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6251,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6252,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6255,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6265,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6266,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6269,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6279,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6283,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6293,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6297,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6307,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6311,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6321,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6325,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6335,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6339,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6349,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6353,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6363,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6367,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6377,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6381,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6391,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6395,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6405,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6409,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.json,6419,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
